Date,Predicted_20%,Actual
2010-02-05,15874.713612095426,15767.0
2010-02-05,9189.067255859374,10178.7
2010-02-05,1995.310326288132,2357.0
2010-02-05,3755.4972635207405,5173.68
2010-02-05,6788.033866606212,7669.53
2010-02-05,13688.086814906532,14734.56
2010-02-05,110366.0262511161,110836.01
2010-02-05,29970.75385686383,21018.53
2010-02-05,4332.790269900368,6096.46
2010-02-05,13106.900090165394,13768.1
2010-02-05,1605.0788060934883,1707.77
2010-02-05,3708.401996625627,2619.38
2010-02-05,4718.5423740583155,4179.51
2010-02-05,1430.3702420857746,2131.0
2010-02-05,86409.51577526661,107659.55
2010-02-05,26136.248370155936,23176.07
2010-02-05,62796.97386349684,68292.15
2010-02-05,14930.129923811917,15787.68
2010-02-05,108080.36839955358,133147.07
2010-02-05,109933.67255338542,119609.83
2010-02-05,26574.898770112544,30306.9
2010-02-05,73318.26576729908,88143.67
2010-02-05,156689.7527601969,177605.86
2010-02-05,30131.05907356771,34162.43
2010-02-05,12868.710156098867,15424.98
2010-02-05,6265.174129189143,6218.09
2010-02-05,3610.8588213491494,3554.71
2010-02-05,12181.671154529386,13825.5
2010-02-05,3133.821205729166,2024.13
2010-02-05,1179.2563780498206,632.0
2010-02-05,6839.996034679596,7313.97
2010-02-05,15737.873412985185,19443.36
2010-02-05,9171.881888509113,10204.96
2010-02-05,12666.31077441406,15392.58
2010-02-05,6081.507880068822,7473.91
2010-02-05,1543.3531265375052,1563.1
2010-02-05,9989.205628958567,10327.77
2010-02-05,23603.011993884855,25122.16
2010-02-05,1352.466719184512,1592.41
2010-02-05,7206.0278430582675,6939.56
2010-02-05,4960.235893841455,4596.97
2010-02-05,1039.1793978474934,933.0
2010-02-05,19237.39328548176,17910.47
2010-02-05,7405.585659923734,7785.61
2010-02-05,2867.146272702173,3281.0
2010-02-05,3607.7539020967033,3738.44
2010-02-05,11511.083984776085,9313.9
2010-02-05,11814.959052153092,11451.62
2010-02-05,1585.9295213642426,1932.98
2010-02-05,4584.760193603515,3909.98
2010-02-05,20249.201561174665,18110.48
2010-02-05,92776.34690987007,89807.88
2010-02-05,130963.14500502235,129993.58
2010-02-05,23575.209859840033,22675.43
2010-02-05,35.46329306248256,30.25
2010-02-05,66.612956366153,10.0
2010-02-05,179.02972051472887,1.49
2010-02-05,1163.9769213271366,1134.75
2010-02-05,130.0591800915173,27.5
2010-02-05,113.29143835360665,79.96
2010-02-05,11963.20809419953,13422.33
2010-02-05,22861.481792526974,18187.71
2010-02-05,11557.55582083566,12785.85
2010-02-05,42687.56052029079,45228.96
2010-02-05,3653.257564852276,3840.21
2010-02-05,3235.3050580719546,3427.09
2010-02-05,3776.364709315709,4216.0
2010-02-05,13498.22466610088,12982.66
2010-02-05,39214.46866582961,39189.44
2010-02-05,26080.795157575336,24190.65
2010-02-05,17948.105247225325,16797.04
2010-02-05,3767.5302027529774,3094.47
2010-02-05,1020.9896325602458,921.15
2010-02-05,13930.346599527995,14257.1
2010-02-05,734.5141470126198,769.01
2010-02-05,53003.03463848587,67626.61
2010-02-05,4732.15465772647,4760.81
2010-02-05,2139.5041501261394,2475.72
2010-02-05,3589.829010429745,3559.44
2010-02-05,10743.558769624256,12602.69
2010-02-05,1190.5827149658207,1501.5
2010-02-05,12084.374195172992,15051.48
2010-02-05,2339.8755389887824,2181.93
2010-02-05,9603.38747357856,11095.59
2010-02-05,16162.728857259117,15513.71
2010-02-05,30234.595297944565,31702.64
2010-02-05,19324.561687531004,17778.48
2010-02-05,1149.4017948579485,764.14
2010-02-05,17061.934929129464,17511.99
2010-02-05,10040.30071837798,9203.73
2010-02-05,3520.7080254661932,4285.21
2010-02-05,1277.1913114120243,1322.6
2010-02-05,3623.2780364224877,2986.85
2010-02-05,4651.471020362492,4615.67
2010-02-05,11501.986571149553,11747.06
2010-02-05,26783.407825334823,28917.12
2010-02-05,23277.552790852864,17309.89
2010-02-05,4448.211093924385,4710.29
2010-02-05,13843.723952020551,15265.19
2010-02-05,60546.32589257814,77641.29
2010-02-05,54848.51289136905,59430.2
2010-02-05,4166.92070010715,5115.22
2010-02-05,8229.519459230452,9093.63
2010-02-05,6428.003385312035,6250.82
2010-02-05,31913.04707291667,32543.64
2010-02-05,16341.97516448103,20171.0
2010-02-05,1238.098163021996,1182.5
2010-02-05,4642.209045968191,5919.68
2010-02-05,4164.742060686384,5721.0
2010-02-05,3096.7644815557574,3550.89
2010-02-05,26904.12453249008,27790.8
2010-02-05,7325.402150227867,6263.43
2010-02-05,19414.146977725075,18825.23
2010-02-05,7233.251791062127,7288.75
2010-02-05,3682.7812260742185,3638.81
2010-02-05,9431.783834960937,9406.33
2010-02-05,12833.130533737909,13634.27
2010-02-05,42905.214568266354,44920.9
2010-02-05,1562.3616848377048,1419.0
2010-02-05,731.1297152056011,492.0
2010-02-05,1868.9685793650794,2382.0
2010-02-05,8497.42369814918,8273.33
2010-02-05,2383.8651690499437,2303.75
2010-02-05,9981.491993082682,10789.52
2010-02-05,4258.017854189919,3981.63
2010-02-05,6432.078931477864,5776.92
2010-02-05,25651.673035063246,22969.02
2010-02-05,1181.8582674483043,1211.64
2010-02-05,11793.25913311477,11501.46
2010-02-05,38985.52429566593,35628.04
2010-02-05,18134.928225539436,17308.29
2010-02-05,6211.814428304036,4113.3
2010-02-05,27270.706366257447,25697.11
2010-02-05,1622.258218200683,1591.08
2010-02-05,250.31699452572778,439.0
2010-02-05,4932.941254144577,5940.18
2010-02-05,471.3370116004338,370.76
2010-02-05,3969.366072198777,3751.44
2010-02-05,2802.422820632208,3508.04
2010-02-05,1947.8881664574033,1119.04
2010-02-05,6902.212056588307,8126.4
2010-02-05,11422.355556435235,11527.12
2010-02-05,3869.670473728724,3263.97
2010-02-05,3424.3472612014048,2762.1
2010-02-05,4790.5386455886655,4214.5
2010-02-05,407.4851347827004,310.46
2010-02-05,3212.0776648297997,3179.03
2010-02-05,13767.743584612166,12385.22
2010-02-05,55893.146365792396,50121.73
2010-02-05,21781.79029436384,21162.05
2010-02-05,9171.904698102679,10636.39
2010-02-05,48.005497641745066,19.25
2010-02-05,39570.898919596344,38258.19
2010-02-05,4401.459627418156,4725.95
2010-02-05,8796.331735781716,8414.14
2010-02-05,728.3965836635773,751.76
2010-02-05,317.9751532022385,347.33
2010-02-05,57.732903318950086,41.34
2010-02-05,603.4793700459799,589.1
2010-02-05,3768.7929816797655,7659.97
2010-02-05,3905.170345982142,3569.91
2010-02-05,11828.04316073754,10416.43
2010-02-05,7898.536424220492,6507.73
2010-02-05,6515.24317620559,6843.57
2010-02-05,14328.69543110584,13554.53
2010-02-05,54481.88974559769,52359.34
2010-02-05,10832.587554594493,10502.84
2010-02-05,20354.678422239274,21244.5
2010-02-05,1040.9807368665422,1085.29
2010-02-05,31349.90277622767,33016.55
2010-02-05,17378.811398553757,16971.72
2010-02-05,11940.684039643782,10425.77
2010-02-05,15282.718380719867,14983.84
2010-02-05,14956.963874581477,14521.55
2010-02-05,13518.947182187036,11744.58
2010-02-05,972.7433024032231,500.0
2010-02-05,432.2717632075718,457.6
2010-02-05,27.88144227831052,43.19
2010-02-05,21177.77775067429,24146.49
2010-02-05,16049.668305734878,15424.24
2010-02-05,4037.2035243908113,2973.86
2010-02-05,52312.73650128658,52339.98
2010-02-05,33534.565687081464,31665.32
2010-02-05,33983.711211960566,30579.89
2010-02-05,132.8160811839401,128.59
2010-02-05,15035.034142147972,15570.1
2010-02-05,1583.245215484619,1429.11
2010-02-05,524.598315264505,553.16
